user_id,group,converted,cancelled_before_day3
cont_01208,control,0,0
cont_01301,control,1,0
trea_00344,treatment,0,0
cont_00705,control,0,0
trea_01003,treatment,1,0
trea_00334,treatment,0,0
trea_00019,treatment,0,0
trea_00320,treatment,0,0
trea_00561,treatment,0,0
trea_00649,treatment,0,0
trea_01138,treatment,0,0
trea_00790,treatment,0,0
cont_00372,control,0,0
cont_00189,control,0,0
cont_01317,control,1,0
cont_00877,control,0,0
trea_00961,treatment,0,0
cont_01471,control,0,0
cont_00101,control,0,0
cont_00297,control,0,0
trea_00516,treatment,1,0
trea_00016,treatment,0,0
trea_00150,treatment,0,0
cont_00891,control,0,0
trea_00361,treatment,0,0
trea_00278,treatment,0,0
trea_00268,treatment,0,0
cont_01502,control,1,0
trea_00879,treatment,0,0
trea_01464,treatment,0,0
cont_00960,control,0,0
trea_00235,treatment,1,0
trea_01362,treatment,1,0
cont_00116,control,0,0
cont_01381,control,1,0
trea_01543,treatment,0,0
trea_00205,treatment,0,0
cont_00679,control,0,0
cont_00037,control,0,0
cont_01025,control,0,0
trea_00613,treatment,0,0
cont_00381,control,0,0
cont_00567,control,0,0
trea_00095,treatment,0,0
cont_00162,control,0,0
cont_00141,control,0,0
trea_01002,treatment,0,0
cont_00935,control,0,1
trea_00650,treatment,0,0
cont_00902,control,0,0
trea_00243,treatment,0,0
cont_00851,control,0,0
cont_00978,control,0,0
trea_00214,treatment,0,0
cont_00269,control,1,0
cont_00522,control,0,1
trea_00154,treatment,1,0
trea_00591,treatment,0,0
cont_01435,control,0,0
trea_00763,treatment,0,0
cont_01252,control,1,0
trea_00061,treatment,0,0
trea_01159,treatment,1,0
trea_00451,treatment,1,0
trea_00494,treatment,0,0
cont_00311,control,0,0
cont_00823,control,0,0
trea_01099,treatment,1,0
trea_01372,treatment,0,0
trea_00279,treatment,0,0
trea_00273,treatment,0,0
trea_00735,treatment,0,1
trea_00641,treatment,0,0
cont_01523,control,0,0
trea_01482,treatment,0,0
trea_01309,treatment,0,0
trea_00145,treatment,0,0
cont_00470,control,0,0
trea_01355,treatment,0,0
cont_01169,control,0,0
trea_01130,treatment,1,0
trea_00873,treatment,0,1
cont_00578,control,0,0
trea_00122,treatment,0,0
cont_01309,control,1,0
trea_00522,treatment,0,0
trea_00521,treatment,1,0
trea_01494,treatment,0,0
trea_00244,treatment,0,0
trea_00094,treatment,0,0
cont_01504,control,0,0
trea_01496,treatment,0,0
trea_00485,treatment,0,0
cont_01472,control,0,0
trea_00674,treatment,0,0
cont_01272,control,0,0
trea_01249,treatment,0,1
trea_00601,treatment,1,0
trea_00682,treatment,0,0
trea_01055,treatment,1,0
cont_01467,control,0,0
cont_01254,control,1,0
trea_00543,treatment,0,0
cont_01539,control,0,0
trea_00662,treatment,0,0
cont_00224,control,0,0
trea_00942,treatment,0,0
cont_01039,control,0,0
cont_00598,control,1,0
cont_01359,control,0,0
cont_00881,control,0,0
trea_00065,treatment,0,0
trea_00835,treatment,0,1
trea_00359,treatment,0,0
trea_01413,treatment,0,0
trea_00465,treatment,1,0
cont_00335,control,1,0
trea_01333,treatment,0,0
cont_00277,control,0,0
trea_00182,treatment,0,0
cont_00357,control,0,0
cont_00527,control,0,1
trea_01407,treatment,0,0
cont_00700,control,0,0
trea_01312,treatment,0,0
cont_00211,control,0,1
trea_01503,treatment,1,0
cont_00748,control,0,0
cont_00668,control,0,0
cont_01141,control,0,0
trea_01397,treatment,1,0
trea_00668,treatment,0,0
trea_00247,treatment,1,0
trea_01018,treatment,0,0
cont_00718,control,0,0
cont_00034,control,1,0
trea_00885,treatment,0,0
trea_00534,treatment,0,0
trea_01550,treatment,0,0
trea_01477,treatment,0,0
trea_00271,treatment,0,0
trea_00193,treatment,1,0
cont_00958,control,0,0
cont_00886,control,1,0
cont_01524,control,0,0
trea_01182,treatment,1,0
cont_00373,control,0,0
trea_00002,treatment,0,0
trea_01323,treatment,0,0
cont_00585,control,1,0
cont_01152,control,1,0
cont_00176,control,0,0
cont_00887,control,0,0
trea_00011,treatment,1,0
cont_00893,control,1,0
trea_00498,treatment,0,1
cont_00591,control,0,0
trea_00417,treatment,0,0
trea_00630,treatment,0,0
trea_01492,treatment,0,0
cont_01433,control,1,0
cont_01316,control,0,0
cont_00043,control,0,0
cont_00998,control,1,0
trea_00888,treatment,0,0
trea_00575,treatment,0,1
trea_01439,treatment,0,0
cont_01075,control,0,0
cont_00555,control,1,0
trea_01096,treatment,0,0
cont_01212,control,0,1
trea_01480,treatment,1,0
trea_00000,treatment,0,0
trea_01024,treatment,1,0
trea_00126,treatment,0,0
cont_01313,control,0,0
trea_01430,treatment,0,0
cont_01110,control,0,0
trea_01408,treatment,1,0
trea_01262,treatment,0,0
trea_01553,treatment,1,0
trea_01201,treatment,0,0
trea_00984,treatment,0,0
cont_00795,control,0,0
cont_00571,control,0,0
trea_01048,treatment,1,0
cont_00806,control,1,0
cont_00642,control,1,0
trea_00008,treatment,0,0
cont_00728,control,0,1
cont_00744,control,0,0
trea_00400,treatment,0,1
cont_00259,control,0,0
cont_01446,control,0,0
trea_01386,treatment,1,0
cont_00288,control,0,0
cont_01295,control,0,0
trea_00052,treatment,0,0
trea_00366,treatment,0,0
cont_00135,control,0,0
cont_01315,control,0,0
cont_00520,control,0,0
trea_01165,treatment,0,1
trea_01086,treatment,1,0
trea_00282,treatment,0,0
trea_00481,treatment,0,0
trea_01417,treatment,0,0
cont_00847,control,1,0
trea_00928,treatment,1,0
cont_01053,control,1,0
trea_00729,treatment,0,0
trea_00703,treatment,1,0
cont_01437,control,0,0
trea_01082,treatment,0,0
trea_01160,treatment,0,0
trea_00018,treatment,1,0
trea_01068,treatment,0,0
cont_01450,control,1,0
cont_01563,control,0,0
trea_01424,treatment,0,0
cont_01478,control,0,0
cont_00648,control,0,0
cont_00361,control,0,0
trea_01183,treatment,1,0
cont_00771,control,0,0
trea_00766,treatment,1,0
trea_01008,treatment,0,0
trea_00504,treatment,0,0
cont_00122,control,0,0
cont_00230,control,0,0
trea_01196,treatment,0,0
trea_00155,treatment,0,0
cont_00005,control,0,0
cont_00542,control,0,0
trea_01152,treatment,0,0
cont_00232,control,0,0
cont_01432,control,0,0
cont_00509,control,0,0
cont_01084,control,0,0
trea_01009,treatment,0,0
trea_00651,treatment,0,0
cont_00029,control,0,0
cont_00831,control,0,0
trea_01295,treatment,1,0
trea_01213,treatment,1,0
trea_00097,treatment,0,0
cont_01424,control,1,0
trea_00028,treatment,0,0
trea_01462,treatment,1,0
cont_00916,control,0,0
cont_00495,control,0,0
trea_00540,treatment,0,0
cont_00948,control,1,0
trea_00872,treatment,0,0
cont_01443,control,0,0
trea_00742,treatment,0,0
trea_00892,treatment,0,0
cont_00088,control,0,0
trea_00990,treatment,0,0
cont_00999,control,0,1
trea_00708,treatment,0,0
